userId,promoCode,applicableTo,modeOfPayment,timeOfOrder,deliveryLocation,usedRewardPoints
11,A121,Lacus Inc.,credit,1/1/2020 10:45,"21 Lower Kent Ridge Rd, Singapore 119077",0
1,A121,Lacus Inc.,credit,1/1/2020 12:34,"9673 A, St.",0
6,A121,Lacus Inc.,cash,1/1/2020 12:55,"21 Lower Kent Ridge Rd, Singapore 119077",0
5,A122,Curabitur LLP,cash,1/1/2020 14:34,Ap #724-6214 Donec St.,0
2,A122,Curabitur LLP,cash,1/1/2020 16:06,"21 Lower Kent Ridge Rd, Singapore 119077",0
8,A122,Curabitur LLP,cash,1/1/2020 16:13,"P.O. Box 478, 6223 Amet Av.",0
15,A122,Curabitur LLP,credit,1/1/2020 16:32,"21 Lower Kent Ridge Rd, Singapore 119077",0
7,A122,Curabitur LLP,cash,1/1/2020 17:31,Ap #811-9386 Sed Ave,0
14,A122,Curabitur LLP,cash,1/1/2020 17:49,"21 Lower Kent Ridge Rd, Singapore 119077",0
12,,,cash,1/1/2020 18:40,3633 Sodales St.,0
4,,,credit,1/1/2020 18:43,"21 Lower Kent Ridge Rd, Singapore 119077",0
10,,,cash,1/1/2020 19:04,"21 Lower Kent Ridge Rd, Singapore 119077",0
13,,,cash,1/1/2020 19:11,Ap #811-9386 Sed Ave,0
16,,,cash,1/1/2020 19:41,Ap #865-5540 Ligula St.,0
3,,,cash,1/1/2020 20:19,"P.O. Box 255, 5464 Velit St.",0
9,,,cash,1/1/2020 20:34,Ap #724-6214 Donec St.,0
20,,,cash,2/1/2020 11:28,"21 Lower Kent Ridge Rd, Singapore 119077",0
19,,,credit,2/1/2020 11:34,465 Id Rd.,0
18,,,credit,2/1/2020 13:20,"21 Lower Kent Ridge Rd, Singapore 119077",0
17,,,cash,2/1/2020 14:06,"P.O. Box 478, 6223 Amet Av.",0
29,,,cash,2/1/2020 14:47,"679 Erat, Ave",0
21,,,credit,2/1/2020 14:56,"21 Lower Kent Ridge Rd, Singapore 119077",0
31,,,cash,2/1/2020 15:45,"21 Lower Kent Ridge Rd, Singapore 119077",0
24,,,cash,2/1/2020 16:11,783-4226 Porttitor St.,0
35,,,cash,2/1/2020 17:14,Ap #680-1342 At Street,0
23,,,cash,2/1/2020 17:51,"P.O. Box 525, 5575 Tellus Ave",0
32,,,credit,2/1/2020 17:54,2424 Eu Road,0
34,,,cash,2/1/2020 19:15,8225 Risus. Road,0
22,,,cash,2/1/2020 19:44,"21 Lower Kent Ridge Rd, Singapore 119077",0
27,,,cash,2/1/2020 19:52,"P.O. Box 255, 5464 Velit St.",0
30,,,credit,2/1/2020 20:00,203-1102 Molestie St.,0
25,,,credit,2/1/2020 21:00,"Ap #840-1080 Ac, St.",0
26,,,cash,2/1/2020 21:04,Ap #251-751 Vehicula Road,0
